student_id,age,degree,cgpa,year_of_study,passing_year,skills,location,preference_remote,annual_income,resume_file
S00094,25,M.Tech AI,7.94,4,2025,"ML, Data Science, React, SQL",Hyderabad,False,315569,resume_00094.pdf
S00095,21,M.Tech AI,8.43,3,2026,"React, HTML, AI",Hyderabad,True,257296,resume_00095.pdf
S00096,22,B.Sc IT,7.95,2,2027,"React, Cloud",Mumbai,True,396779,resume_00096.pdf
S00097,23,M.Tech AI,7.33,2,2027,"ML, React",Kolkata,True,359728,resume_00097.pdf
S00098,22,B.Tech CSE,8.59,4,2025,"Data Science, Python, Cloud",Bangalore,True,299648,resume_00098.pdf
S00099,23,M.Tech AI,7.1,2,2027,"React, SQL, HTML, Python",Delhi,False,581124,resume_00099.pdf
S00100,21,B.Com,8.63,4,2025,"AI, HTML, CSS, Data Science",Mumbai,False,246036,resume_00100.pdf
S00101,25,M.Tech AI,8.39,2,2027,"React, HTML",Kolkata,False,249091,resume_00101.pdf
S00102,24,BBA,7.98,1,2028,"AI, Java, Python",Hyderabad,False,445638,resume_00102.pdf
S00103,25,BBA,7.83,4,2025,"React, Data Science, AI",Chennai,True,500714,resume_00103.pdf
S00104,21,B.Tech CSE,8.1,3,2026,"SQL, AI, CSS, HTML",Kolkata,False,258695,resume_00104.pdf
S00105,23,B.Com,7.59,2,2027,"ML, CSS, SQL, Java",Chennai,True,465035,resume_00105.pdf
S00106,25,M.Tech AI,7.25,3,2026,"Java, ML, AI, Python",Bangalore,True,573776,resume_00106.pdf
S00107,24,B.Tech CSE,6.63,1,2028,"AI, React, HTML, SQL",Delhi,False,397552,resume_00107.pdf
S00108,22,BBA,8.38,2,2027,"ML, AI",Kolkata,False,363012,resume_00108.pdf
S00109,20,M.Tech AI,7.53,2,2027,"ML, Cloud, CSS, React",Mumbai,False,272245,resume_00109.pdf
S00110,21,MBA,8.4,2,2027,"AI, Data Science",Delhi,True,272884,resume_00110.pdf
S00111,25,B.Com,7.23,4,2025,"CSS, ML, Java, Cloud",Chennai,False,578741,resume_00111.pdf
S00112,20,MBA,8.73,2,2027,"Cloud, Java, HTML",Hyderabad,True,407082,resume_00112.pdf
S00113,25,B.Tech CSE,9.22,1,2028,"CSS, Java, Python",Delhi,True,532043,resume_00113.pdf
S00114,25,B.Sc IT,7.95,4,2025,"React, Java, Python, ML",Mumbai,True,490477,resume_00114.pdf
S00115,24,MBA,8.7,2,2027,"Python, CSS, React, SQL",Delhi,False,365419,resume_00115.pdf
S00116,22,M.Tech AI,7.87,4,2025,"Java, ML",Mumbai,False,218473,resume_00116.pdf
S00117,21,B.Tech CSE,7.19,3,2026,"HTML, Python, SQL",Hyderabad,True,503909,resume_00117.pdf
S00118,25,MBA,9.41,3,2026,"HTML, Data Science, SQL",Hyderabad,False,253710,resume_00118.pdf
S00119,23,B.Tech CSE,8.61,3,2026,"HTML, ML",Hyderabad,True,415697,resume_00119.pdf
S00120,25,B.Com,7.95,4,2025,"SQL, Java, ML",Chennai,False,220861,resume_00120.pdf
S00121,25,M.Tech AI,8.22,1,2028,"AI, Java",Kolkata,False,495157,resume_00121.pdf
S00122,24,BBA,9.34,3,2026,"Python, Cloud, Data Science, React",Chennai,True,231586,resume_00122.pdf
S00123,24,M.Tech AI,8.31,1,2028,"Data Science, HTML, React",Chennai,True,494544,resume_00123.pdf
S00124,22,BBA,8.96,1,2028,"Java, HTML, CSS",Mumbai,False,352883,resume_00124.pdf
S00125,22,BBA,8.95,1,2028,"ML, React",Bangalore,True,385027,resume_00125.pdf
S00126,22,M.Tech AI,7.77,3,2026,"ML, HTML, Cloud, AI",Kolkata,True,269478,resume_00126.pdf
S00127,24,MBA,6.94,2,2027,"AI, HTML, CSS, ML",Delhi,False,572915,resume_00127.pdf
S00128,24,M.Tech AI,8.16,1,2028,"CSS, React, ML",Delhi,False,276862,resume_00128.pdf
S00129,20,B.Com,7.79,3,2026,"SQL, Data Science, Python, React",Hyderabad,False,311128,resume_00129.pdf
S00130,24,B.Sc IT,8.45,4,2025,"HTML, CSS",Bangalore,True,249449,resume_00130.pdf
S00131,24,B.Com,6.59,2,2027,"ML, AI, Cloud",Bangalore,False,484776,resume_00131.pdf
S00132,20,B.Tech CSE,9.09,2,2027,"Java, SQL, HTML, ML",Chennai,True,409921,resume_00132.pdf
S00133,21,BBA,7.04,2,2027,"Data Science, SQL",Delhi,True,522210,resume_00133.pdf
S00134,24,M.Tech AI,8.09,3,2026,"Cloud, React",Chennai,False,286998,resume_00134.pdf
S00135,25,B.Com,8.8,1,2028,"SQL, Data Science",Mumbai,False,407872,resume_00135.pdf
S00136,21,B.Tech CSE,7.47,3,2026,"SQL, Data Science, Cloud",Mumbai,True,259833,resume_00136.pdf
S00137,21,BBA,6.67,4,2025,"Java, CSS, Cloud",Chennai,False,263022,resume_00137.pdf
S00138,25,M.Tech AI,8.56,4,2025,"Cloud, HTML, Python, CSS",Bangalore,False,528600,resume_00138.pdf
S00139,21,BBA,9.45,1,2028,"SQL, Data Science, React, Python",Bangalore,False,506794,resume_00139.pdf
S00140,21,B.Com,6.78,2,2027,"CSS, Python, HTML, Java",Mumbai,False,489644,resume_00140.pdf
S00141,21,M.Tech AI,7.42,2,2027,"Java, Cloud, HTML",Bangalore,True,309094,resume_00141.pdf
S00142,21,MBA,8.78,1,2028,"HTML, Data Science, Cloud",Delhi,True,572558,resume_00142.pdf
S00143,24,MBA,7.42,2,2027,"ML, HTML, CSS, Java",Kolkata,False,298656,resume_00143.pdf
S00144,25,B.Com,9.5,4,2025,"ML, Java",Bangalore,False,356492,resume_00144.pdf
S00145,25,B.Com,8.3,1,2028,"AI, Java, Data Science, Cloud",Chennai,True,260350,resume_00145.pdf
S00146,22,BBA,8.11,2,2027,"Cloud, Python, CSS",Delhi,True,538115,resume_00146.pdf
S00147,24,B.Sc IT,6.82,3,2026,"Cloud, CSS, Data Science, SQL",Delhi,False,566736,resume_00147.pdf
S00148,21,MBA,7.47,2,2027,"React, ML, SQL, Python",Bangalore,False,333352,resume_00148.pdf
S00149,21,B.Sc IT,7.47,4,2025,"Python, Java, SQL",Delhi,True,265938,resume_00149.pdf
S00150,22,BBA,8.49,2,2027,"ML, React, Java, Python",Bangalore,True,272095,resume_00150.pdf
S00151,23,BBA,9.17,2,2027,"Data Science, SQL, HTML, Java",Mumbai,False,467727,resume_00151.pdf
S00152,25,MBA,7.45,2,2027,"SQL, HTML",Delhi,True,332813,resume_00152.pdf
S00153,24,BBA,8.66,3,2026,"React, ML, Data Science, Python",Bangalore,True,256121,resume_00153.pdf
S00154,24,MBA,8.77,1,2028,"CSS, AI, React",Hyderabad,True,444314,resume_00154.pdf
S00155,24,M.Tech AI,7.85,1,2028,"CSS, Java, Data Science",Bangalore,False,390040,resume_00155.pdf
S00156,24,BBA,6.78,2,2027,"React, SQL, Java, HTML",Mumbai,True,322392,resume_00156.pdf
S00157,20,B.Tech CSE,8.6,2,2027,"AI, Java, Data Science",Chennai,True,593931,resume_00157.pdf
S00158,24,BBA,9.19,1,2028,"SQL, Data Science",Hyderabad,True,445153,resume_00158.pdf
S00159,23,B.Sc IT,7.07,3,2026,"Python, ML, React",Kolkata,False,525171,resume_00159.pdf
S00160,24,MBA,8.28,3,2026,"Cloud, SQL, React",Delhi,True,550084,resume_00160.pdf
S00161,24,B.Sc IT,8.38,2,2027,"Java, HTML, AI",Kolkata,False,400147,resume_00161.pdf
S00162,21,M.Tech AI,8.0,3,2026,"Cloud, Data Science",Hyderabad,False,544837,resume_00162.pdf
S00163,25,B.Sc IT,8.0,2,2027,"SQL, ML, HTML, Python",Bangalore,False,234319,resume_00163.pdf
S00164,22,BBA,9.15,2,2027,"Cloud, HTML, ML, Data Science",Hyderabad,False,259475,resume_00164.pdf
S00165,25,B.Sc IT,9.27,4,2025,"Java, AI",Delhi,True,246562,resume_00165.pdf
S00166,25,B.Com,6.87,2,2027,"Java, SQL, Python, AI",Kolkata,True,564651,resume_00166.pdf
S00167,24,B.Sc IT,8.98,4,2025,"Python, React",Chennai,False,220459,resume_00167.pdf
S00168,22,B.Tech CSE,8.81,1,2028,"Cloud, AI, CSS",Hyderabad,False,234428,resume_00168.pdf
S00169,24,MBA,6.61,4,2025,"Java, Data Science, Cloud, Python",Kolkata,True,511909,resume_00169.pdf
S00170,23,BBA,9.0,3,2026,"ML, Java, Cloud, CSS",Mumbai,False,324540,resume_00170.pdf
S00171,20,BBA,7.74,1,2028,"Data Science, SQL",Hyderabad,True,410409,resume_00171.pdf
S00172,24,B.Com,9.47,1,2028,"Python, React, Java",Kolkata,True,243550,resume_00172.pdf
S00173,25,B.Tech CSE,9.04,4,2025,"AI, Python, Java",Mumbai,False,224420,resume_00173.pdf
S00174,23,M.Tech AI,8.77,4,2025,"Cloud, Python, CSS, Java",Chennai,True,490757,resume_00174.pdf
S00175,21,M.Tech AI,8.06,2,2027,"CSS, ML, AI",Chennai,False,486291,resume_00175.pdf
S00176,21,B.Tech CSE,7.26,1,2028,"SQL, ML",Kolkata,True,292687,resume_00176.pdf
S00177,23,MBA,9.13,3,2026,"CSS, React",Hyderabad,False,412935,resume_00177.pdf
S00178,20,BBA,7.78,2,2027,"Python, HTML, CSS",Delhi,False,244338,resume_00178.pdf
S00179,21,BBA,6.5,3,2026,"AI, Python",Chennai,False,472462,resume_00179.pdf
S00180,22,M.Tech AI,6.5,1,2028,"ML, React, CSS, HTML",Hyderabad,False,532545,resume_00180.pdf
S00181,20,B.Sc IT,7.08,1,2028,"HTML, Python",Hyderabad,False,576624,resume_00181.pdf
S00182,22,B.Tech CSE,8.58,4,2025,"Cloud, Java",Delhi,False,433359,resume_00182.pdf
S00183,20,M.Tech AI,6.71,4,2025,"Java, Data Science, Cloud",Bangalore,False,250535,resume_00183.pdf
S00184,20,M.Tech AI,7.53,3,2026,"AI, HTML, Data Science, ML",Hyderabad,True,495153,resume_00184.pdf
S00185,25,M.Tech AI,9.3,2,2027,"Cloud, Data Science",Chennai,False,413714,resume_00185.pdf
S00186,22,M.Tech AI,8.72,2,2027,"CSS, Cloud, AI",Chennai,False,280933,resume_00186.pdf
S00187,25,B.Tech CSE,9.16,3,2026,"ML, AI, SQL",Hyderabad,True,232125,resume_00187.pdf
S00188,20,MBA,8.67,1,2028,"SQL, AI",Bangalore,False,534151,resume_00188.pdf
S00189,21,B.Sc IT,8.24,2,2027,"Python, Cloud, ML",Chennai,True,489342,resume_00189.pdf
S00190,24,M.Tech AI,7.1,3,2026,"SQL, Cloud",Chennai,False,447552,resume_00190.pdf
S00191,24,B.Com,7.23,3,2026,"Cloud, Python, HTML",Hyderabad,False,332694,resume_00191.pdf
S00192,21,B.Com,9.25,3,2026,"CSS, AI, HTML, Data Science",Kolkata,True,397766,resume_00192.pdf
S00193,20,M.Tech AI,6.67,1,2028,"React, Cloud",Mumbai,True,425997,resume_00193.pdf
S00194,24,B.Com,9.16,2,2027,"Python, Java, CSS, ML",Chennai,False,231346,resume_00194.pdf
S00195,20,BBA,9.19,2,2027,"HTML, Data Science, CSS, Java",Hyderabad,False,266074,resume_00195.pdf
S00196,20,M.Tech AI,7.85,1,2028,"React, CSS, Data Science, HTML",Delhi,False,447354,resume_00196.pdf
S00197,22,B.Com,8.72,4,2025,"Java, HTML, CSS",Hyderabad,False,214672,resume_00197.pdf
S00198,25,B.Sc IT,8.76,2,2027,"HTML, React, Data Science, Python",Bangalore,True,405892,resume_00198.pdf
S00199,23,B.Tech CSE,8.78,4,2025,"CSS, AI, SQL, Java",Delhi,True,447127,resume_00199.pdf
S00200,20,BBA,7.82,4,2025,"Cloud, HTML, ML",Chennai,False,502704,resume_00200.pdf
S00201,20,M.Tech AI,6.98,4,2025,"Cloud, ML",Hyderabad,False,593181,resume_00201.pdf
S00202,21,M.Tech AI,8.48,2,2027,"HTML, Python, SQL",Bangalore,True,212149,resume_00202.pdf
S00203,24,M.Tech AI,8.27,4,2025,"React, SQL, Python, Java",Hyderabad,True,585850,resume_00203.pdf
S00204,23,B.Tech CSE,8.42,4,2025,"ML, Cloud",Kolkata,True,487171,resume_00204.pdf
S00205,25,B.Com,8.27,2,2027,"AI, Java, SQL, Python",Delhi,False,436051,resume_00205.pdf
S00206,25,B.Tech CSE,7.57,1,2028,"AI, Java",Delhi,True,345212,resume_00206.pdf
S00207,21,BBA,7.29,1,2028,"Data Science, ML, CSS, AI",Bangalore,False,364986,resume_00207.pdf
S00208,22,MBA,6.97,2,2027,"React, Data Science",Chennai,True,540243,resume_00208.pdf
S00209,25,M.Tech AI,9.17,2,2027,"Java, Python, AI, SQL",Bangalore,False,311264,resume_00209.pdf
S00210,21,B.Com,7.18,1,2028,"Python, ML, Data Science",Kolkata,False,225893,resume_00210.pdf
S00211,24,MBA,7.54,4,2025,"SQL, React, Java",Kolkata,False,282784,resume_00211.pdf
S00212,25,B.Sc IT,7.61,4,2025,"AI, React, Cloud, Java",Delhi,False,524623,resume_00212.pdf
S00213,21,BBA,8.68,2,2027,"Data Science, Cloud, Python, HTML",Bangalore,False,466526,resume_00213.pdf
S00214,25,MBA,7.88,4,2025,"HTML, Cloud, AI",Hyderabad,True,287329,resume_00214.pdf
S00215,24,BBA,9.41,3,2026,"HTML, Data Science",Bangalore,True,212501,resume_00215.pdf
S00216,20,B.Sc IT,8.2,1,2028,"ML, Python, AI, HTML",Kolkata,True,530812,resume_00216.pdf
S00217,20,B.Tech CSE,9.15,2,2027,"Python, Data Science, AI",Chennai,True,284933,resume_00217.pdf
S00218,21,B.Com,8.78,1,2028,"CSS, Python, HTML, Java",Hyderabad,False,268494,resume_00218.pdf
S00219,24,B.Sc IT,7.92,4,2025,"Cloud, Java, HTML, React",Mumbai,True,570299,resume_00219.pdf
S00220,20,B.Sc IT,8.73,4,2025,"React, AI",Bangalore,False,474561,resume_00220.pdf
S00221,21,B.Com,6.75,4,2025,"Python, ML, Java",Mumbai,False,425167,resume_00221.pdf
S00222,22,B.Tech CSE,9.26,1,2028,"AI, CSS, React, Data Science",Hyderabad,False,335872,resume_00222.pdf
S00223,24,BBA,6.95,1,2028,"Cloud, AI, Java, ML",Kolkata,True,486598,resume_00223.pdf
S00224,24,B.Tech CSE,9.01,4,2025,"HTML, Python, AI, Cloud",Mumbai,False,539236,resume_00224.pdf
S00225,20,M.Tech AI,8.3,2,2027,"Python, ML, CSS, Cloud",Hyderabad,False,573774,resume_00225.pdf
S00226,23,B.Sc IT,7.89,4,2025,"Java, React",Bangalore,False,359078,resume_00226.pdf
S00227,20,B.Com,7.63,3,2026,"AI, Java, ML",Delhi,True,406867,resume_00227.pdf
S00228,25,MBA,7.02,2,2027,"Data Science, Cloud, ML, React",Chennai,True,455857,resume_00228.pdf
S00229,20,M.Tech AI,8.59,2,2027,"React, Java, Cloud",Delhi,False,317392,resume_00229.pdf
S00230,22,MBA,6.74,1,2028,"CSS, Java, Cloud, ML",Bangalore,True,579467,resume_00230.pdf
S00231,23,MBA,8.92,3,2026,"ML, React, HTML",Bangalore,False,377229,resume_00231.pdf
S00232,24,MBA,7.5,1,2028,"ML, Java, Data Science",Delhi,True,460347,resume_00232.pdf
S00233,24,B.Tech CSE,8.34,4,2025,"SQL, CSS",Bangalore,True,225446,resume_00233.pdf
S00234,24,M.Tech AI,8.06,3,2026,"SQL, CSS, ML, AI",Bangalore,True,306533,resume_00234.pdf
S00235,24,B.Tech CSE,7.96,3,2026,"Java, ML, HTML, Python",Hyderabad,True,208887,resume_00235.pdf
S00236,20,B.Tech CSE,6.52,2,2027,"React, Cloud, AI, Data Science",Bangalore,False,435936,resume_00236.pdf
S00237,22,B.Tech CSE,7.63,4,2025,"Python, Java, SQL, HTML",Hyderabad,False,393013,resume_00237.pdf
S00238,24,MBA,8.47,2,2027,"Python, CSS, ML, SQL",Bangalore,True,235447,resume_00238.pdf
S00239,23,BBA,7.38,4,2025,"React, SQL",Delhi,False,434515,resume_00239.pdf
S00240,22,B.Com,9.45,3,2026,"Data Science, SQL, ML",Hyderabad,False,202287,resume_00240.pdf
S00241,24,MBA,7.11,3,2026,"Java, Python",Hyderabad,True,222676,resume_00241.pdf
S00242,25,B.Tech CSE,9.27,4,2025,"Cloud, ML",Delhi,False,529012,resume_00242.pdf
S00243,23,MBA,8.35,3,2026,"Data Science, React, HTML",Mumbai,True,269932,resume_00243.pdf
S00244,23,B.Sc IT,9.33,3,2026,"Java, CSS, Cloud, Python",Chennai,False,328980,resume_00244.pdf
S00245,21,MBA,8.7,2,2027,"SQL, Python",Delhi,True,445530,resume_00245.pdf
S00246,23,B.Com,8.65,2,2027,"AI, CSS",Kolkata,True,492023,resume_00246.pdf
S00247,25,B.Com,9.41,2,2027,"SQL, Java, Python",Kolkata,True,250124,resume_00247.pdf
S00248,20,B.Com,8.87,3,2026,"Python, Data Science, CSS",Bangalore,True,354219,resume_00248.pdf
S00249,21,MBA,6.78,3,2026,"Data Science, CSS, SQL",Bangalore,False,244943,resume_00249.pdf
S00250,22,B.Com,8.26,3,2026,"CSS, SQL, Java",Delhi,False,240800,resume_00250.pdf
S00251,22,B.Sc IT,7.1,3,2026,"React, AI",Delhi,False,427717,resume_00251.pdf
S00252,24,B.Tech CSE,9.06,4,2025,"SQL, Cloud",Hyderabad,False,250709,resume_00252.pdf
S00253,20,MBA,8.47,1,2028,"HTML, AI, React",Mumbai,True,281316,resume_00253.pdf
S00254,25,M.Tech AI,8.02,1,2028,"Java, AI",Kolkata,False,382988,resume_00254.pdf
S00255,23,MBA,6.77,4,2025,"React, Java",Kolkata,False,437321,resume_00255.pdf
S00256,24,BBA,8.95,4,2025,"Data Science, HTML, Java",Chennai,True,432235,resume_00256.pdf
S00257,20,BBA,6.85,4,2025,"React, Java, SQL",Chennai,False,227887,resume_00257.pdf
